genome,kingdom,phylum,class,genus,species
Campylobacter_jejuni_81116_uid58771,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_jejuni_81_176_uid58503,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_jejuni_doylei_269_97_uid58671,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_jejuni_ICDCCJ07001_uid61249,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_jejuni_NCTC_11168___ATCC_700819_uid57587,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_jejuni_RM1221_uid57899,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_jejuni
Campylobacter_lari_RM2100_uid58115,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_lari
Candidatus_Accumulibacter_phosphatis_clade_IIA_UW_1_uid59207,Bacteria,Proteobacteria,Betaproteobacteria,Candidatus,Candidatus_Accumulibacter
Candidatus_Amoebophilus_asiaticus_5a2_uid58963,Bacteria,Bacteroidetes,-,Candidatus,Candidatus_Amoebophilus
Candidatus_Arthromitus_SFB_mouse_Japan_uid71379,Bacteria,Firmicutes,Clostridia,Candidatus,Candidatus_Arthromitus
Candidatus_Arthromitus_SFB_rat_Yit_uid73425,Bacteria,Firmicutes,Clostridia,Candidatus,Candidatus_Arthromitus
Candidatus_Azobacteroides_pseudotrichonymphae_genomovar__CFP2_uid59163,Bacteria,Bacteroidetes,Bacteroidia,Candidatus,Candidatus_Azobacteroides
Candidatus_Blochmannia_floridanus_uid57999,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Blochmannia
Candidatus_Blochmannia_pennsylvanicus_BPEN_uid58329,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Blochmannia
Candidatus_Blochmannia_vafer_BVAF_uid62083,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Blochmannia
Candidatus_Carsonella_ruddii_uid58773,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Carsonella
Candidatus_Chloracidobacterium_thermophilum_B_uid73587,Bacteria,Acidobacteria,-,Candidatus,Candidatus_Chloracidobacterium
Candidatus_Cloacamonas_acidaminovorans_uid62959,Bacteria,-,-,Candidatus,Candidatus_Cloacamonas
Candidatus_Desulforudis_audaxviator_MP104C_uid59067,Bacteria,Firmicutes,Clostridia,Candidatus,Candidatus_Desulforudis
Candidatus_Hamiltonella_defensa_5AT__Acyrthosiphon_pisum__uid59289,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Hamiltonella
Candidatus_Hodgkinia_cicadicola_Dsem_uid59311,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Hodgkinia
Candidatus_Korarchaeum_cryptofilum_OPF8_uid58601,Archaea,Korarchaeota,-,Candidatus,Candidatus_Korarchaeum
Candidatus_Koribacter_versatilis_Ellin345_uid58479,Bacteria,Acidobacteria,-,Candidatus,Candidatus_Koribacter
Candidatus_Liberibacter_asiaticus_psy62_uid59227,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Liberibacter
Candidatus_Liberibacter_solanacearum_CLso_ZC1_uid61245,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Liberibacter
Candidatus_Midichloria_mitochondrii_IricVA_uid68687,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Midichloria
Candidatus_Moranella_endobia_PCIT_uid68739,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Moranella
Candidatus_Nitrospira_defluvii_uid51175,Bacteria,Nitrospirae,Nitrospira,Candidatus,Candidatus_Nitrospira
Candidatus_Pelagibacter_IMCC9063_uid66305,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Pelagibacter
Candidatus_Pelagibacter_ubique_HTCC1062_uid58401,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Pelagibacter
Candidatus_Phytoplasma_australiense_uid61641,Bacteria,Tenericutes,Mollicutes,Candidatus,Candidatus_Phytoplasma
Candidatus_Phytoplasma_mali_uid59087,Bacteria,Tenericutes,Mollicutes,Candidatus,Candidatus_Phytoplasma
Candidatus_Protochlamydia_amoebophila_UWE25_uid58079,Bacteria,Chlamydiae,Chlamydiia,Candidatus,Candidatus_Protochlamydia
Candidatus_Puniceispirillum_marinum_IMCC1322_uid47081,Bacteria,Proteobacteria,Alphaproteobacteria,Candidatus,Candidatus_Puniceispirillum
Candidatus_Riesia_pediculicola_USDA_uid46841,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Riesia
Candidatus_Ruthia_magnifica_Cm__Calyptogena_magnifica__uid58645,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Ruthia
Candidatus_Solibacter_usitatus_Ellin6076_uid58139,Bacteria,Acidobacteria,Solibacteres,Candidatus,Candidatus_Solibacter
Candidatus_Sulcia_muelleri_CARI_uid52535,Bacteria,Bacteroidetes,Flavobacteriia,Candidatus,Candidatus_Sulcia
Candidatus_Sulcia_muelleri_DMIN_uid47075,Bacteria,Bacteroidetes,Flavobacteriia,Candidatus,Candidatus_Sulcia
Candidatus_Sulcia_muelleri_GWSS_uid58943,Bacteria,Bacteroidetes,Flavobacteriia,Candidatus,Candidatus_Sulcia
Candidatus_Sulcia_muelleri_SMDSEM_uid59393,Bacteria,Bacteroidetes,Flavobacteriia,Candidatus,Candidatus_Sulcia
Candidatus_Tremblaya_princeps_PCIT_uid68741,Bacteria,Proteobacteria,Betaproteobacteria,Candidatus,Candidatus_Tremblaya
Candidatus_Vesicomyosocius_okutanii_HA_uid59427,Bacteria,Proteobacteria,Gammaproteobacteria,Candidatus,Candidatus_Vesicomyosocius
Candidatus_Zinderia_insecticola_CARI_uid52459,Bacteria,Proteobacteria,Betaproteobacteria,Candidatus,Candidatus_Zinderia
Capnocytophaga_canimorsus_Cc5_uid70727,Bacteria,Bacteroidetes,Flavobacteriia,Capnocytophaga,Capnocytophaga_canimorsus
Capnocytophaga_ochracea_DSM_7271_uid59197,Bacteria,Bacteroidetes,Flavobacteriia,Capnocytophaga,Capnocytophaga_ochracea
Carboxydothermus_hydrogenoformans_Z_2901_uid57821,Bacteria,Firmicutes,Clostridia,Carboxydothermus,Carboxydothermus_hydrogenoformans
Carnobacterium_17_4_uid65789,Bacteria,Firmicutes,Bacilli,Carnobacterium,Carnobacterium_17
Catenulispora_acidiphila_DSM_44928_uid59077,Bacteria,Actinobacteria,Actinobacteria,Catenulispora,Catenulispora_acidiphila
Caulobacter_crescentus_CB15_uid57891,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacter,Caulobacter_crescentus
Caulobacter_crescentus_NA1000_uid59307,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacter,Caulobacter_crescentus
Caulobacter_K31_uid58551,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacter,Caulobacter_K31
